seqnames,start,end,length,yak_FB,mel_FB,CG,symbol,DA_yak,DA_san,DS_yak,DS_san,PA_yak,PS_yak,PA_san,PS_san,type
3R,5508842,5523328,14487,FBgn0242356,FBgn0010399,CG2902,Nmdar1,3,0,10,5,9,15,1,12,genome
2R,13202728,13206547,3820,FBgn0231070,FBgn0005654,CG4088,lat,2,2,1,1,50,61,24,35,genome
X,844823,845297,475,FBgn0234141,FBgn0029535,CG14635,CG14635,1,2,2,1,9,7,3,2,genome
3R,4403076,4407182,4107,FBgn0242486,FBgn0263594,CG14648,lost,3,5,4,5,4,6,2,1,genome
2R,11619479,11640941,21463,FBgn0231177,FBgn0033638,CG9005,CG9005,0,1,1,1,111,185,27,79,genome
3L,5565231,5566765,1535,FBgn0238752,FBgn0040239,CG4867,bc10,0,0,0,0,2,7,0,1,genome
2L,9254076,9254854,779,FBgn0228422,FBgn0040097,CG17011,lectin-30A,1,1,0,0,12,20,6,13,genome
2R,23925077,23935884,10808,FBgn0229314,FBgn0263006,CG3725,Ca-P60A,0,0,1,1,1,103,1,20,genome
2R,15942864,15947266,4403,FBgn0229533,FBgn0034053,CG8302,Cyp4aa1,0,2,0,1,31,106,4,32,genome
2R,7054405,7057548,3144,FBgn0241386,FBgn0033137,CG4471,Tsp42Ep,1,0,0,0,16,27,5,15,genome
3L,21955110,21958041,2932,FBgn0239813,FBgn0037144,CG7458,CG7458,0,3,1,6,11,41,4,5,genome
2L,16491540,16507621,16082,FBgn0230468,FBgn0032586,CG4599,Tpr2,0,2,4,2,3,13,2,15,genome
3R,29587237,29588104,868,FBgn0228311,FBgn0039670,CG7567,CG7567,3,3,3,2,41,54,29,25,genome
3L,4186018,4186865,848,FBgn0237944,FBgn0028664,CG11589,VhaM9.7-c,0,0,0,0,7,11,0,1,genome
X,14787478,14826073,38596,FBgn0233649,FBgn0003301,CG9533,rut,0,0,1,5,61,236,14,66,genome
2R,15296764,15298329,1566,FBgn0230008,FBgn0034007,CG8102,CG8102,0,2,0,2,42,103,12,45,genome
X,16884581,16886612,2032,FBgn0235085,FBgn0030801,CG4875,Rcp,1,3,0,2,33,18,5,9,genome
2R,11844378,11845099,722,FBgn0230129,FBgn0262819,CG43190,CG43190,0,0,0,0,13,28,3,10,genome
3R,6646889,6656048,9160,FBgn0241973,FBgn0010355,CG17603,Taf1,2,4,9,7,23,115,16,76,genome
3L,3626352,3653442,27091,FBgn0238635,FBgn0263239,CG12029,dar1,0,0,1,0,41,89,14,31,genome
4,1112874,1123357,10484,FBgn0232091,FBgn0039928,CG11059,Cals,3,2,7,3,1,8,2,1,genome
2R,10124293,10137472,13180,FBgn0236687,FBgn0050011,CG30011,gem,3,3,8,3,12,23,12,19,genome
2R,8134170,8135315,1146,FBgn0240472,FBgn0033268,CG2297,Obp44a,0,0,0,0,4,4,0,2,Obp
2L,4933047,4936450,3404,FBgn0236114,FBgn0031649,CG15624,hoe2,0,1,1,0,42,121,15,56,genome
3L,10463816,10464635,820,FBgn0238991,FBgn0052061,CG32061,CG32061,1,0,1,0,28,35,26,16,genome
X,21350280,21357912,7633,FBgn0235357,FBgn0003464,CG1391,sol,0,3,2,5,39,134,7,16,genome
2L,19442833,19444750,1918,FBgn0068143,FBgn0024230,CG10234,Hs2st,0,1,0,4,13,17,1,11,genome
X,16286288,16286988,701,FBgn0234735,FBgn0030733,CG3560,CG3560,0,0,0,1,0,3,0,1,genome
3R,28294048,28294550,503,FBgn0234735,FBgn0039576,CG17856,CG17856,0,0,0,1,0,3,0,1,genome
2R,8000490,8002120,1631,FBgn0240581,FBgn0033249,CG11191,CG11191,0,0,0,0,23,23,14,14,genome
2R,18615988,18618317,2330,FBgn0229762,FBgn0034363,CG5327,CG5327,0,0,0,0,7,28,2,14,genome
2R,11235860,11236204,345,FBgn0230581,FBgn0085252,CG34223,CG34223,0,0,1,0,3,4,11,2,genome
2L,6255859,6256822,964,FBgn0231400,FBgn0031791,CG9486,AANATL2,0,0,0,0,39,26,9,17,genome
X,1821469,1822381,913,FBgn0234027,FBgn0029590,CG14811,CG14811,3,7,2,3,8,8,2,2,genome
X,16399782,16405122,5341,FBgn0233527,FBgn0030746,CG9981,CG9981,4,5,2,2,44,91,15,39,genome
2R,9167763,9177261,9499,FBgn0239698,FBgn0015477,CG8014,Rme-8,2,2,18,13,34,107,16,86,genome
3R,25888542,25893270,4729,FBgn0240799,FBgn0028717,CG17367,Lnk,0,1,1,0,11,109,3,34,genome
2L,12338848,12339477,630,FBgn0235989,FBgn0051862,CG31862,CG31862,1,1,0,0,22,26,14,13,genome
3L,14760520,14761844,1325,FBgn0237330,FBgn0053260,CG33260,CG33260,4,3,5,2,36,15,9,9,genome
3L,7913664,7915120,1457,FBgn0237699,FBgn0035825,CG8111,CG8111,0,0,0,0,24,68,5,25,genome
X,19277176,19280349,3174,FBgn0234866,FBgn0031010,CG8028,CG8028,0,2,4,6,25,77,3,24,genome
2L,17187637,17260734,73098,FBgn0230842,FBgn0032629,CG15138,beat-IIIc,1,1,2,1,16,18,5,10,genome
3L,7400070,7401671,1602,FBgn0238868,FBgn0035780,CG18417,CG18417,0,0,0,0,64,37,23,13,genome
3R,20121060,20122277,1218,FBgn0242714,FBgn0045471,CG31208,Gr92a,0,0,0,0,0,0,0,0,Gr
X,9247342,9250037,2696,FBgn0235228,FBgn0010269,CG15793,Dsor1,0,0,0,1,0,42,0,14,genome
3R,25997621,25998633,1013,FBgn0082706,FBgn0002734,CG8328,E(spl)mdelta-HLH,0,0,1,2,9,23,5,16,genome
4,1077331,1084796,7466,FBgn0232092,FBgn0024913,CG11062,Actbeta,4,4,4,2,9,9,5,3,genome
3L,8617235,8619474,2240,FBgn0238059,FBgn0035915,CG6372,S-Lap1,0,0,1,1,1,74,0,46,genome
3L,8619888,8622091,2204,FBgn0238059,FBgn0052351,CG32351,S-Lap2,0,0,1,1,1,74,0,46,genome
2R,17246530,17247383,854,FBgn0068459,FBgn0046294,CG12699,CG12699,1,0,0,0,11,12,2,9,genome
2L,6742502,6756133,13632,FBgn0231735,FBgn0031855,CG11221,CG11221,0,0,0,0,2,97,0,44,genome
X,17240468,17245001,4534,FBgn0233178,FBgn0030833,CG8915,CG8915,1,2,0,0,43,141,13,46,genome
3R,21046032,21047027,996,FBgn0242112,FBgn0051207,CG31207,CG31207,1,0,0,2,3,13,6,8,genome
3R,22698319,22700307,1989,FBgn0228194,FBgn0039006,CG12800,Cyp6d4,0,1,0,0,30,97,8,22,genome
2L,10339457,10341503,2047,FBgn0068041,FBgn0019932,CG5029,SamDC,0,0,0,0,12,19,7,14,genome
3L,6131242,6132109,868,FBgn0237823,FBgn0042119,CG18778,Cpr65Au,0,0,0,0,3,4,2,2,genome
3R,18361994,18364277,2284,FBgn0242598,FBgn0038607,CG7669,CG7669,8,10,4,2,22,12,16,17,genome
X,19521929,19530896,8968,FBgn0233411,FBgn0261573,CG42687,CoRest,0,0,1,1,4,16,0,6,genome
2R,23988738,23992049,3312,FBgn0231968,FBgn0034950,CG3105,Pask,0,0,0,0,40,167,8,44,genome
3R,16807214,16830049,22836,FBgn0243166,FBgn0000014,CG10325,abd-A,0,0,0,0,10,42,5,16,genome
3L,12368646,12391444,22799,FBgn0237450,FBgn0036279,CG4357,Ncc69,0,2,0,1,22,132,3,63,genome
3L,21033554,21034203,650,FBgn0239585,FBgn0037046,CG10581,CG10581,0,0,0,0,20,19,6,7,genome
2L,2767286,2767845,560,FBgn0232625,FBgn0026324,CG3069,Taf10b,0,0,0,0,3,15,2,7,genome
3L,19799278,19803427,4150,FBgn0236961,FBgn0260874,CG42584,Ir76a,4,1,4,5,32,31,10,13,genome
2R,7064399,7066113,1715,FBgn0236465,FBgn0033139,CG12837,Tsp42Er,0,0,1,0,5,30,5,15,genome
2R,8649649,8665223,15575,FBgn0236573,FBgn0003892,CG2411,ptc,0,0,0,5,22,152,5,62,genome
4,1057365,1065001,7637,FBgn0232093,FBgn0011642,CG32018,Zyx,2,10,2,0,5,3,0,2,genome
3R,27677522,27679013,1492,FBgn0240909,FBgn0039537,CG5590,CG5590,0,0,0,0,6,70,4,23,genome
3L,17792088,17797594,5507,FBgn0239350,FBgn0261998,CG42816,CG42816,16,14,4,1,175,51,71,61,genome
3L,21427790,21433066,5277,FBgn0237088,FBgn0053288,CG33288,CG33288,1,1,2,3,19,15,5,3,genome
X,806076,808200,2125,FBgn0068250,FBgn0260855,CG7359,Sec22,0,0,1,1,0,9,0,1,genome
2R,24973431,24975341,1911,FBgn0229203,FBgn0035090,CG2736,CG2736,1,5,1,2,16,39,6,15,genome
2L,19484930,19486532,1603,FBgn0230946,FBgn0032788,CG13084,CG13084,7,1,6,3,31,18,21,21,genome
X,4875670,4877263,1594,FBgn0233897,FBgn0029730,CG12681,CG12681,12,10,6,5,52,28,21,4,genome
3R,9628691,9630851,2161,FBgn0241859,FBgn0005585,CG9429,Crc,0,0,3,0,1,15,0,5,genome
X,6699508,6719389,19882,FBgn0234261,FBgn0029895,CG14441,CG14441,1,7,7,7,34,54,7,12,genome
3R,29794597,29795805,1209,FBgn0241034,FBgn0262112,CG12068,sro,0,0,0,0,23,64,14,29,genome
2L,2992870,2998726,5857,FBgn0235629,FBgn0025681,CG3558,CG3558,0,0,0,2,37,175,19,89,genome
2L,19774874,19791882,17009,FBgn0230355,FBgn0032821,CG10538,CdGAPr,2,2,15,10,33,71,25,71,genome
X,7728755,7731729,2975,FBgn0233296,FBgn0029957,CG12155,CG12155,0,0,1,1,9,73,0,15,genome
2R,20618503,20621081,2579,FBgn0229893,FBgn0034527,CG9945,CG9945,0,0,2,2,11,51,3,19,genome
3R,8676915,8678955,2041,FBgn0242944,FBgn0037611,CG11755,CG11755,0,0,0,1,16,7,4,2,genome
4,1035288,1053703,18416,FBgn0232094,FBgn0264607,CG18069,CaMKII,0,0,1,2,0,6,0,3,genome
2L,7839777,7840414,638,FBgn0235754,FBgn0262546,CR43100,CR43100,0,0,0,0,47,16,19,5,genome
X,9329016,9330487,1472,FBgn0233027,FBgn0085479,CG34450,CG34450,0,0,1,2,54,113,17,41,genome
X,9324508,9356227,31720,FBgn0233027,FBgn0085478,CG34449,CG34449,0,0,1,2,54,113,17,41,genome
3R,15537713,15542414,4702,FBgn0243396,FBgn0038348,CG18519,CG18519,1,0,0,1,91,217,34,95,genome
3L,16859080,16860529,1450,FBgn0237212,FBgn0259794,CG13030,sinah,1,2,1,1,5,30,5,13,genome
3R,5787337,5789384,2048,FBgn0241272,FBgn0037376,CG2051,CG2051,0,0,0,0,13,74,5,25,genome
3L,9097629,9134405,36777,FBgn0238530,FBgn0011206,CG4760,bol,0,0,0,0,2,21,0,5,genome
3R,14111151,14112166,1016,FBgn0227944,FBgn0038204,CG14357,CG14357,1,3,0,0,95,51,18,15,genome
X,21028652,21031950,3299,FBgn0232904,FBgn0031144,CG1529,CG1529,0,3,0,1,60,54,10,11,genome
3R,22746446,22747599,1154,FBgn0241149,FBgn0039020,CG17141,CG17141,0,0,0,0,30,76,7,22,genome
2L,21094966,21102429,7464,FBgn0230712,FBgn0032915,CG12050,CG12050,6,5,7,7,25,24,7,10,genome
X,3491011,3504851,13841,FBgn0234379,FBgn0029667,CG14271,Gas8,0,0,4,0,2,16,0,4,genome
X,2172526,2173432,907,FBgn0233780,FBgn0025839,CG3621,CG3621,0,2,0,1,3,9,0,1,genome
2R,15147860,15149709,1850,FBgn0231291,FBgn0033994,CG7544,CG7544,0,0,0,0,51,59,16,21,genome
3L,14002127,14020148,18022,FBgn0239227,FBgn0036398,CG9007,upSET,8,5,15,18,147,303,34,78,genome
2R,19022325,19032642,10318,FBgn0231511,FBgn0263116,CG15113,5-HT1B,0,0,1,2,34,61,13,18,genome
3R,11173441,11175408,1968,FBgn0241750,FBgn0040250,CG15902,Ugt86Dj,0,0,0,1,22,45,22,25,genome
2L,5767002,5800253,33252,FBgn0236347,FBgn0031738,CG9171,CG9171,0,1,0,0,16,90,2,24,genome
2R,22478379,22483054,4676,FBgn0231624,FBgn0034733,CG4752,CG4752,0,0,0,2,96,262,41,119,genome
3L,11949839,11952225,2387,FBgn0239109,FBgn0036227,CG17826,CG17826,0,0,0,1,48,62,21,28,genome
2R,12686249,12688786,2538,FBgn0230231,FBgn0033767,CG13148,CG13148,1,4,2,1,12,35,11,15,genome
2L,6263557,6264490,934,FBgn0235872,FBgn0031792,CG13983,CG13983,0,0,0,0,20,46,5,17,genome
3R,19094394,19094905,512,FBgn0242239,FBgn0038678,CG14283,mRpL55,1,0,1,0,2,1,2,4,genome
2L,9568890,9573572,4683,FBgn0236237,FBgn0032130,CG3838,CG3838,0,0,2,1,38,61,6,25,genome
3L,542122,542931,810,FBgn0238299,FBgn0035141,CG13892,Cypl,0,0,0,1,8,41,1,11,genome
2R,13176553,13198337,21785,FBgn0231071,FBgn0053182,CG33182,Kdm4B,0,0,0,0,14,40,7,36,genome
X,7535625,7536959,1335,FBgn0234980,FBgn0052720,CG32720,CG32720,7,19,1,8,158,144,69,61,genome
X,12408861,12409825,965,FBgn0234491,FBgn0030386,CG2574,CG2574,1,2,0,2,13,20,6,2,genome
3R,13264364,13270038,5675,FBgn0243287,FBgn0003598,CG8599,Su(var)3-7,2,6,1,2,45,71,12,36,genome
2R,6875906,6878927,3022,FBgn0241508,FBgn0265137,CG9453,Spn42Da,0,0,0,2,16,51,6,18,genome
3L,15498202,15498821,620,FBgn0239465,FBgn0036499,CG7276,CG7276,5,0,0,0,9,13,6,11,genome
2L,5969859,5971025,1167,FBgn0242833,FBgn0031758,CG18340,Ucp4B,0,0,0,1,21,49,9,20,genome
2R,22600405,22605667,5263,FBgn0229645,FBgn0034742,CG4294,CG4294,1,2,2,6,201,164,72,49,genome
3R,30488963,30489895,933,FBgn0068353,FBgn0039778,CG18030,Jon99Fi,0,0,0,0,3,23,2,21,genome
3R,30487016,30487928,913,FBgn0068353,FBgn0039777,CG2229,Jon99Fii,0,0,0,0,3,23,2,21,genome
3R,29922216,29923455,1240,FBgn0068353,FBgn0003357,CG31362,Jon99Ciii,0,0,0,0,3,23,2,21,genome
3R,29923754,29924615,862,FBgn0068353,FBgn0003356,CG31034,Jon99Cii,0,0,0,0,3,23,2,21,genome
3L,8990317,8997989,7673,FBgn0067927,FBgn0016070,CG5263,smg,4,1,5,6,26,122,12,54,genome
2R,16948296,16955266,6971,FBgn0231850,FBgn0085444,CG34415,mute,1,2,0,0,118,209,37,93,genome
X,862608,863200,593,FBgn0234142,FBgn0040892,CG14634,CG14634,2,0,0,1,5,7,3,1,genome
2R,11616869,11619023,2155,FBgn0231178,FBgn0086712,CG9006,Egm,1,1,1,0,45,134,15,45,genome
2R,23896896,23898246,1351,FBgn0229315,FBgn0034925,CG5339,CG5339,0,1,1,3,11,52,4,16,genome
2L,5461639,5467610,5972,FBgn0242487,FBgn0261963,CG6634,mid,0,0,0,0,10,55,1,15,genome
X,15603283,15633434,30152,FBgn0041637,FBgn0003463,CG9224,sog,0,0,0,0,19,107,9,31,genome
2L,4382925,4386062,3138,FBgn0232340,FBgn0031598,CG3338,CG3338,1,1,0,3,29,108,12,43,genome
2L,16542546,16543263,718,FBgn0230469,FBgn0051816,CG31816,CG31816,1,0,1,1,5,0,1,1,genome
2R,15955040,15956636,1597,FBgn0229534,FBgn0034054,CG8366,CG8366,2,2,0,1,19,83,5,23,genome
3R,24769351,24770933,1583,FBgn0240691,FBgn0040600,CG13631,CG13631,0,0,0,0,0,9,0,2,genome
3R,6173549,6174971,1423,FBgn0228061,FBgn0037406,CG15585,Osi1,1,1,0,1,26,45,6,17,genome
3L,10640286,10661013,20728,FBgn0237583,FBgn0052066,CG32066,CG32066,0,0,0,0,0,53,2,21,genome
4,310930,314087,3158,FBgn0068354,FBgn0039902,CG2177,Zip102B,3,1,3,7,1,6,0,1,genome
3R,25485618,25490936,5319,FBgn0228538,FBgn0040212,CG4625,Dhap-at,0,1,2,7,50,160,6,30,genome
X,16886818,16888729,1912,FBgn0235086,FBgn0030803,CG4880,CG4880,8,10,2,1,24,25,11,12,genome
X,14247732,14258595,10864,FBgn0234612,FBgn0002873,CG12047,mud,21,15,10,3,147,91,125,49,genome
2R,11845324,11852324,7001,FBgn0230130,FBgn0033657,CG8271,Sln,0,0,0,0,26,129,12,49,genome
2R,8129354,8131323,1970,FBgn0240479,FBgn0260390,CG42516,CG42516,0,0,1,0,3,5,1,4,genome
X,14782962,14784052,1091,FBgn0233650,FBgn0020508,CG9540,Ag5r2,1,0,0,0,1,36,2,6,genome
2R,15262808,15309368,46561,FBgn0230011,FBgn0265194,CG44240,Trpm,0,0,0,5,8,166,2,56,genome
3L,17243436,17244746,1311,FBgn0243050,FBgn0036703,CG7707,CG7707,0,1,0,0,11,14,6,1,genome
3L,1313696,1318330,4635,FBgn0238420,FBgn0035207,CG9153,CG9153,1,3,2,6,28,187,10,36,genome
3R,12427795,12429282,1488,FBgn0241631,FBgn0038046,CG5641,CG5641,0,1,2,5,4,6,2,22,genome
3R,31311157,31371748,60592,FBgn0228765,FBgn0085376,CG34347,CG34347,0,1,0,0,27,106,11,41,genome
2R,10137656,10139267,1612,FBgn0236688,FBgn0033490,CG12917,CG12917,1,4,2,2,19,11,8,7,genome
3R,24314660,24318419,3760,FBgn0228651,FBgn0028471,CG5720,Nab2,0,0,0,0,80,170,20,59,genome
3R,27291535,27292209,675,FBgn0228423,FBgn0040609,CG3348,CG3348,1,0,0,0,1,10,2,7,genome
2L,15113480,15118069,4590,FBgn0238180,FBgn0001978,CG3647,stc,5,0,6,2,11,20,7,31,genome
X,19275004,19276898,1895,FBgn0234867,FBgn0052536,CG32536,CG32536,0,0,0,1,21,27,3,6,genome
2R,18621541,18622986,1446,FBgn0229763,FBgn0034365,CG5335,CG5335,0,0,0,1,12,69,4,28,genome
3R,29499025,29503797,4773,FBgn0228312,FBgn0039668,CG2304,Trc8,5,4,0,1,28,122,10,43,genome
2L,4908581,4932384,23804,FBgn0236115,FBgn0041150,CG12787,hoe1,0,0,0,0,16,115,7,47,genome
3L,4182645,4184663,2019,FBgn0237945,FBgn0040697,CG18676,Teh3,0,0,0,0,1,90,0,45,genome
X,1735945,1754065,18121,FBgn0234030,FBgn0025391,CG14808,Scgdelta,2,1,6,1,14,11,3,5,genome
3L,21962401,21969964,7564,FBgn0239814,FBgn0029091,CG7464,CS-2,6,4,6,1,22,78,12,34,genome
2R,21065379,21067087,1709,FBgn0231401,FBgn0022700,CG3986,Cht4,0,3,0,4,53,127,9,51,genome
X,10264233,10265263,1031,FBgn0068460,FBgn0040942,CG12643,CG12643,0,0,0,0,1,9,0,1,genome
X,16388820,16391438,2619,FBgn0233528,FBgn0010416,CG9984,TH1,0,0,4,2,1,36,0,9,genome
X,16313709,16317750,4042,FBgn0234738,FBgn0030739,CG13957,CG13957,3,8,3,5,43,23,18,9,genome
3R,14845043,14846737,1695,FBgn0241388,FBgn0038266,CG3610,CG3610,2,0,1,0,28,79,13,38,genome
3R,5489505,5502702,13198,FBgn0242357,FBgn0051547,CG31547,CG31547,1,0,8,6,6,23,1,14,genome
2L,2054589,2057967,3379,FBgn0235358,FBgn0026396,CG15377,Or22c,0,3,0,0,27,39,9,21,Or
3L,3659068,3659724,657,FBgn0238636,FBgn0262544,CG43098,CG43098,2,3,1,1,1,23,0,6,genome
2R,15989683,15991286,1604,FBgn0231736,FBgn0034057,CG8314,CG8314,0,0,0,0,5,49,0,10,genome
2R,22882747,22886247,3501,FBgn0229424,FBgn0034792,CG3499,CG3499,1,3,0,1,15,113,3,38,genome
X,9250420,9255953,5534,FBgn0235229,FBgn0030114,CG17754,CG17754,0,0,0,2,0,101,1,40,genome
3L,5583669,5590390,6722,FBgn0238753,FBgn0035617,CG5146,l(3)psg2,4,7,4,3,322,286,73,94,genome
3L,10465187,10468974,3788,FBgn0238992,FBgn0045770,CG32063,S-Lap3,0,2,0,0,1,112,1,82,genome
3L,7760453,7763166,2714,FBgn0068144,FBgn0001208,CG7399,Hn,0,0,0,0,1,98,0,44,genome
3R,6657882,6659442,1561,FBgn0241974,FBgn0262801,CG2358,twr,0,0,1,1,0,14,0,8,genome
2L,17123307,17125961,2655,FBgn0230843,FBgn0051784,CG31784,CG31784,9,5,7,6,47,20,55,30,genome
3L,14747929,14761049,13121,FBgn0237331,FBgn0013263,CG33261,Trl,1,0,2,1,23,15,9,10,genome
2L,12344219,12397528,53310,FBgn0235992,FBgn0262475,CG43065,bru-2,0,0,0,1,37,16,14,15,genome
3L,19637207,19642816,5610,FBgn0239699,FBgn0036897,CG8786,CG8786,3,3,0,1,22,12,10,11,genome
3L,7896109,7911954,15846,FBgn0237700,FBgn0003041,CG8114,pbl,0,0,0,0,5,131,2,56,genome
3R,30435177,30443599,8423,FBgn0240582,FBgn0039770,CG15537,CG15537,0,0,0,0,19,54,12,19,genome
2R,7068247,7069896,1650,FBgn0236466,FBgn0033140,CG12836,CG12836,0,0,0,1,20,24,4,7,genome
2L,19487490,19488691,1202,FBgn0230947,FBgn0032789,CG13083,CG13083,2,1,3,0,16,5,10,16,genome
2L,2763416,2765665,2250,FBgn0232628,FBgn0031457,CG3077,CG3077,0,0,0,0,24,69,10,21,genome
2L,13831482,13833105,1624,FBgn0229204,FBgn0064115,CG33649,CG33649,1,0,1,0,20,21,8,11,genome
3L,8617235,8619474,2240,FBgn0238060,FBgn0035915,CG6372,S-Lap1,0,0,0,0,3,106,2,51,genome
3L,8619888,8622091,2204,FBgn0238060,FBgn0052351,CG32351,S-Lap2,0,0,0,0,3,106,2,51,genome
3L,21030280,21031360,1081,FBgn0239586,FBgn0037045,CG10584,CG10584,0,1,3,2,31,30,10,13,genome
2R,24017421,24019896,2476,FBgn0231969,FBgn0034957,CG3121,CG3121,0,0,0,0,32,106,12,59,genome
3L,19805181,19806932,1752,FBgn0236962,FBgn0036909,CG15881,CG15881,0,0,0,0,5,5,4,3,genome
3R,20169435,20174872,5438,FBgn0242715,FBgn0038774,CG5023,CG5023,0,0,1,1,1,1,1,3,genome
3L,11822851,11824211,1361,FBgn0068251,FBgn0036213,CG7283,RpL10Ab,0,0,0,0,0,9,0,3,genome
X,22529964,22536371,6408,FBgn0068042,FBgn0262866,CG17596,S6kII,1,5,3,8,7,71,1,6,genome
X,19566019,19569401,3383,FBgn0233412,FBgn0000257,CG12230,car,1,1,1,2,12,75,2,40,genome
3L,12339116,12351544,12429,FBgn0237451,FBgn0036278,CG10698,CrzR,0,1,0,0,27,96,10,34,genome
X,9317915,9319223,1309,FBgn0233029,FBgn0040235,CG12135,c12.1,0,1,1,0,3,39,1,26,genome
3R,16750741,16751334,594,FBgn0243167,FBgn0063261,CG31275,CG31275,1,0,3,2,7,8,7,8,genome
3R,22702007,22704338,2332,FBgn0228195,FBgn0039008,CG6972,CG6972,0,0,0,0,4,42,0,21,genome
2R,15155437,15190292,34856,FBgn0231292,FBgn0013467,CG18285,igl,0,0,0,0,12,15,2,5,genome
2R,8665813,8683022,17210,FBgn0236574,FBgn0263120,CG8732,Acsl,0,0,3,2,1,32,1,34,genome
2L,19765776,19769067,3292,FBgn0230357,FBgn0000529,CG10604,bsh,5,2,6,4,22,16,9,22,genome
2R,18971309,18972537,1229,FBgn0231512,FBgn0041702,CG15107,CG15107,0,1,0,0,34,33,7,11,genome
X,3484605,3485378,774,FBgn0234380,FBgn0029665,CG14270,CG14270,1,1,4,1,0,6,1,1,genome
3R,26005046,26006023,978,FBgn0082707,FBgn0002733,CG14548,E(spl)mbeta-HLH,0,0,0,1,6,33,4,7,genome
3L,6123934,6128807,4874,FBgn0237824,FBgn0002440,CG12755,l(3)mbn,1,3,3,5,35,43,12,13,genome
2R,9846636,9847836,1201,FBgn0239228,FBgn0023175,CG1519,Prosalpha7,0,0,1,3,4,2,1,8,genome
3R,25893495,25895026,1532,FBgn0240800,FBgn0039385,CG5913,CG5913,0,0,0,0,72,92,21,47,genome
X,7734923,7736756,1834,FBgn0233297,FBgn0029959,CG12156,Rab39,0,0,0,0,1,26,0,7,genome
2L,1882201,1884059,1859,FBgn0232905,FBgn0031373,CG15358,CG15358,0,0,0,0,36,14,13,5,genome
X,2181211,2182916,1706,FBgn0233782,FBgn0003116,CG3461,pn,4,4,3,5,21,25,2,5,genome
2R,13176094,13190086,13993,FBgn0231073,FBgn0033802,CG17724,CG17724,0,0,0,2,39,32,12,23,genome
2L,5762553,5766142,3590,FBgn0236348,FBgn0031737,CG11142,obst-E,0,0,0,2,5,43,6,11,genome
2L,378112,387439,9328,FBgn0234262,FBgn0000061,CG3935,al,0,1,0,0,8,38,3,20,genome
2R,12700081,12700851,771,FBgn0230232,FBgn0033770,CG12442,wuc,2,1,0,0,8,16,6,7,genome
2R,20623547,20628315,4769,FBgn0229894,FBgn0034529,CG16742,CG16742,7,13,4,6,295,139,92,55,genome
3R,27679291,27680336,1046,FBgn0240910,FBgn0039538,CG12883,CG12883,0,0,0,0,12,20,9,5,genome
3R,18366638,18367913,1276,FBgn0242599,FBgn0038609,CG7671,Nup43,3,3,6,3,5,4,2,3,genome
2R,6660645,6662118,1474,FBgn0241751,FBgn0266518,CG3189,Dpit47,0,1,1,2,22,37,6,12,genome
2L,2999286,3016069,16784,FBgn0235631,FBgn0031488,CG17265,CG17265,0,0,0,0,28,106,10,20,genome
3R,25775288,25776237,950,FBgn0237213,FBgn0039368,CG17196,CG17196,7,2,7,1,16,36,12,17,genome
3R,25777268,25778305,1038,FBgn0237213,FBgn0039370,CG4956,CG4956,7,2,7,1,16,36,12,17,genome
3R,25773334,25775369,2036,FBgn0237213,FBgn0039367,CG17197,CG17197,7,2,7,1,16,36,12,17,genome
3R,25773334,25775369,2036,FBgn0237213,FBgn0039366,CG17198,CG17198,7,2,7,1,16,36,12,17,genome
3L,16860622,16861838,1217,FBgn0237213,FBgn0036670,CG13029,CG13029,7,2,7,1,16,36,12,17,genome
3R,25776276,25777198,923,FBgn0237213,FBgn0039369,CG17195,CG17195,7,2,7,1,16,36,12,17,genome
2L,21086790,21088751,1962,FBgn0230713,FBgn0053508,CG33508,ppk13,0,1,6,1,3,7,0,4,genome
X,12432224,12453650,21427,FBgn0234494,FBgn0259680,CG42349,Pkcdelta,0,0,2,2,7,47,1,13,genome
X,875732,876612,881,FBgn0234143,FBgn0040341,CG11664,CG11664,1,4,1,1,12,11,2,4,genome
2R,15992408,15993707,1300,FBgn0229535,FBgn0034059,CG8320,CG8320,0,0,0,1,7,31,2,8,genome
2L,9589476,9591783,2308,FBgn0236238,FBgn0032131,CG3841,CG3841,0,0,0,0,60,80,40,47,genome
2R,22563152,22592964,29813,FBgn0229646,FBgn0260866,CG12489,dnr1,1,1,0,0,38,81,12,44,genome
2L,13639447,13642602,3156,FBgn0229316,FBgn0028546,CG9031,ics,0,1,0,1,2,55,0,19,genome
3L,9067195,9072731,5537,FBgn0238531,FBgn0035959,CG4911,CG4911,0,0,1,2,8,61,4,21,genome
X,7964024,7986601,22578,FBgn0041638,FBgn0003447,CG32858,sn,0,0,1,0,1,51,0,18,genome
2L,7801668,7810703,9036,FBgn0235755,FBgn0031952,CG7134,cdc14,0,0,0,0,37,140,23,55,genome
X,656114,657899,1786,FBgn0067928,FBgn0025637,CG16983,skpA,0,0,1,0,0,14,1,2,genome
3R,9625157,9626930,1774,FBgn0241860,FBgn0037721,CG9427,CG9427,1,1,1,0,8,13,2,8,genome
2L,4277696,4281324,3629,FBgn0232346,FBgn0031592,CG3675,Art2,4,3,0,0,34,51,17,16,genome
3R,5754932,5758997,4066,FBgn0241275,FBgn0266672,CG2095,Sec8,0,0,0,0,2,32,2,13,genome
2R,11248126,11248610,485,FBgn0230584,FBgn0085256,CG34227,CG34227,0,0,0,1,4,7,2,5,genome
